,Time,Loci1_FL_temp,Loci1_NF_temp,Loci1_FL_Wat,Loci1_NF_Wat,Loci2_FL_temp,Loci2_NF_temp,Loci2_FL_Wat,Loci2_NF_Wat,Day,Rtime
1,"2Day - 11,14",NA,NA,NA,NA,21.13,26.015,0.0085,0.0045,124,2013-05-03 12:00:00
2,"2Day - 11,14",NA,NA,NA,NA,22.015,25.78,0.0425,0.026,124,2013-05-03 13:00:00
3,"2Day - 11,14",NA,NA,NA,NA,26.175,26.32,0.0415,0.041,124,2013-05-03 14:00:00
4,"3Afternoon - 15,18",NA,NA,NA,NA,28.13,24.775,0.0405,0.04,124,2013-05-03 15:00:00
5,"3Afternoon - 15,18",NA,NA,NA,NA,27.035,22.915,0.04,0.039,124,2013-05-03 16:00:00
6,"3Afternoon - 15,18",NA,NA,NA,NA,25.58,21.305,0.04,0.04,124,2013-05-03 17:00:00
7,"3Afternoon - 15,18",NA,NA,NA,NA,23.415,19.95,0.0395,0.041,124,2013-05-03 18:00:00
8,"4Evning - 19,22",NA,NA,NA,NA,20.815,18.24,0.0395,0.0405,124,2013-05-03 19:00:00
9,"4Evning - 19,22",NA,NA,NA,NA,18.6,16.75,0.0395,0.041,124,2013-05-03 20:00:00
10,"4Evning - 19,22",NA,NA,NA,NA,16.62,15.31,0.04,0.04,124,2013-05-03 21:00:00
11,"4Evning - 19,22",NA,NA,NA,NA,15.18,14.215,0.04,0.0405,124,2013-05-03 22:00:00
12,"5Night - 23,2",NA,NA,NA,NA,13.665,12.99,0.0405,0.041,124,2013-05-03 23:00:00
13,"5Night - 23,2",NA,NA,NA,NA,12.405,11.95,0.0405,0.0415,124,2013-05-04 00:00:00
14,"5Night - 23,2",NA,NA,NA,NA,11.51,11.335,0.0405,0.0415,124,2013-05-04 01:00:00
15,"5Night - 23,2",NA,NA,NA,NA,10.62,10.7,0.0415,0.0415,124,2013-05-04 02:00:00
16,"6Erly Morn - 3,6",NA,NA,NA,NA,10.02,10.31,0.042,0.0425,124,2013-05-04 03:00:00
17,"6Erly Morn - 3,6",NA,NA,NA,NA,9.425,9.91,0.043,0.044,124,2013-05-04 04:00:00
18,"6Erly Morn - 3,6",NA,NA,NA,NA,8.925,9.4,0.0435,0.045,124,2013-05-04 05:00:00
19,"6Erly Morn - 3,6",NA,NA,NA,NA,8.655,9.105,0.0435,0.044,124,2013-05-04 06:00:00
20,"1Morning - 7,10",NA,NA,NA,NA,10.1,10.19,0.0415,0.041,124,2013-05-04 07:00:00
21,"1Morning - 7,10",NA,NA,NA,NA,12.76,12.02,0.0365,0.039,124,2013-05-04 08:00:00
22,"1Morning - 7,10",NA,NA,NA,NA,15.31,13.655,0.0365,0.0365,124,2013-05-04 09:00:00
23,"1Morning - 7,10",NA,NA,NA,NA,16.505,14.315,0.0355,0.0345,124,2013-05-04 10:00:00
24,"2Day - 11,14",NA,NA,NA,NA,18.615,15.78,0.038,0.032,124,2013-05-04 11:00:00
25,"2Day - 11,14",NA,NA,NA,NA,19.915,16.8,0.037,0.031,125,2013-05-04 12:00:00
26,"2Day - 11,14",NA,NA,NA,NA,26.705,21.98,0.037,0.03,125,2013-05-04 13:00:00
27,"2Day - 11,14",NA,NA,NA,NA,29.175,23.655,0.036,0.0295,125,2013-05-04 14:00:00
28,"3Afternoon - 15,18",NA,NA,NA,NA,31.715,25.015,0.036,0.029,125,2013-05-04 15:00:00
29,"3Afternoon - 15,18",NA,NA,NA,NA,30.22,23.46,0.036,0.0285,125,2013-05-04 16:00:00
30,"3Afternoon - 15,18",NA,NA,NA,NA,28.66,22.27,0.0365,0.0285,125,2013-05-04 17:00:00
31,"3Afternoon - 15,18",NA,NA,NA,NA,25.745,19.98,0.037,0.0295,125,2013-05-04 18:00:00
32,"4Evning - 19,22",NA,NA,NA,NA,23.245,18.305,0.037,0.03,125,2013-05-04 19:00:00
33,"4Evning - 19,22",NA,NA,NA,NA,21.155,16.835,0.037,0.03,125,2013-05-04 20:00:00
34,"4Evning - 19,22",NA,NA,NA,NA,18.205,14.555,0.038,0.0305,125,2013-05-04 21:00:00
35,"4Evning - 19,22",NA,NA,NA,NA,16.33,13.15,0.0385,0.0305,125,2013-05-04 22:00:00
36,"5Night - 23,2",NA,NA,NA,NA,14.83,11.895,0.039,0.031,125,2013-05-04 23:00:00
37,"5Night - 23,2",NA,NA,NA,NA,13.53,10.77,0.0395,0.0315,125,2013-05-05 00:00:00
38,"5Night - 23,2",NA,NA,NA,NA,12.615,10.045,0.0395,0.0315,125,2013-05-05 01:00:00
39,"5Night - 23,2",NA,NA,NA,NA,11.98,9.66,0.04,0.032,125,2013-05-05 02:00:00
40,"6Erly Morn - 3,6",NA,NA,NA,NA,11.365,9.24,0.0415,0.0335,125,2013-05-05 03:00:00
41,"6Erly Morn - 3,6",NA,NA,NA,NA,10.8,8.855,0.043,0.035,125,2013-05-05 04:00:00
42,"6Erly Morn - 3,6",NA,NA,NA,NA,10.215,8.3785,0.0435,0.0355,125,2013-05-05 05:00:00
43,"6Erly Morn - 3,6",NA,NA,NA,NA,9.855,8.121,0.0435,0.0355,125,2013-05-05 06:00:00
44,"1Morning - 7,10",NA,NA,NA,NA,10.57,9.145,0.0415,0.0345,125,2013-05-05 07:00:00
45,"1Morning - 7,10",NA,NA,NA,NA,13.05,12.46,0.0435,0.0335,125,2013-05-05 08:00:00
46,"1Morning - 7,10",NA,NA,NA,NA,16.9,15.865,0.058,0.035,125,2013-05-05 09:00:00
47,"1Morning - 7,10",NA,NA,NA,NA,19.365,16.83,0.063,0.034,125,2013-05-05 10:00:00
48,"2Day - 11,14",NA,NA,NA,NA,21.76,18.21,0.0615,0.033,125,2013-05-05 11:00:00
49,"2Day - 11,14",NA,NA,NA,NA,24.92,20.52,0.06,0.0325,126,2013-05-05 12:00:00
50,"2Day - 11,14",NA,NA,NA,NA,27.74,22.595,0.059,0.0325,126,2013-05-05 13:00:00
51,"2Day - 11,14",NA,NA,NA,NA,30.25,24.48,0.058,0.032,126,2013-05-05 14:00:00
52,"3Afternoon - 15,18",NA,NA,NA,NA,33.285,26.39,0.0575,0.032,126,2013-05-05 15:00:00
53,"3Afternoon - 15,18",NA,NA,NA,NA,35.015,27.23,0.0565,0.032,126,2013-05-05 16:00:00
54,"3Afternoon - 15,18",NA,NA,NA,NA,33.95,26.13,0.056,0.0325,126,2013-05-05 17:00:00
55,"3Afternoon - 15,18",NA,NA,NA,NA,29.42,23.58,0.0565,0.0325,126,2013-05-05 18:00:00
56,"4Evning - 19,22",NA,NA,NA,NA,26.33,21.445,0.0565,0.0335,126,2013-05-05 19:00:00
57,"4Evning - 19,22",NA,NA,NA,NA,24.09,19.81,0.0565,0.0335,126,2013-05-05 20:00:00
58,"4Evning - 19,22",NA,NA,NA,NA,21.045,17.46,0.057,0.034,126,2013-05-05 21:00:00
59,"4Evning - 19,22",NA,NA,NA,NA,18.83,15.5,0.0565,0.0335,126,2013-05-05 22:00:00
60,"5Night - 23,2",NA,NA,NA,NA,17.265,14.11,0.057,0.0345,126,2013-05-05 23:00:00
61,"5Night - 23,2",NA,NA,NA,NA,16.015,13.135,0.0575,0.0345,126,2013-05-06 00:00:00
62,"5Night - 23,2",NA,NA,NA,NA,14.955,12.29,0.058,0.0345,126,2013-05-06 01:00:00
63,"5Night - 23,2",NA,NA,NA,NA,13.99,11.4,0.0585,0.0355,126,2013-05-06 02:00:00
64,"6Erly Morn - 3,6",NA,NA,NA,NA,13.11,10.615,0.06,0.0365,126,2013-05-06 03:00:00
65,"6Erly Morn - 3,6",NA,NA,NA,NA,12.3,9.825,0.0605,0.0375,126,2013-05-06 04:00:00
66,"6Erly Morn - 3,6",NA,NA,NA,NA,11.55,9.13,0.061,0.0375,126,2013-05-06 05:00:00
67,"6Erly Morn - 3,6",NA,NA,NA,NA,11.02,8.6825,0.0615,0.037,126,2013-05-06 06:00:00
68,"1Morning - 7,10",NA,NA,NA,NA,11.69,9.86,0.062,0.0375,126,2013-05-06 07:00:00
69,"1Morning - 7,10",NA,NA,NA,NA,14.225,13.47,0.0625,0.0365,126,2013-05-06 08:00:00
70,"1Morning - 7,10",NA,NA,NA,NA,18.395,17.495,0.0645,0.0375,126,2013-05-06 09:00:00
71,"1Morning - 7,10",NA,NA,NA,NA,23.18,20.97,0.064,0.0355,126,2013-05-06 10:00:00
72,"2Day - 11,14",NA,NA,NA,NA,27.77,24.17,0.0625,0.034,126,2013-05-06 11:00:00
73,"2Day - 11,14",NA,NA,NA,NA,32.095,27.38,0.0615,0.0335,127,2013-05-06 12:00:00
74,"2Day - 11,14",NA,NA,NA,NA,35.59,29.53,0.06,0.033,127,2013-05-06 13:00:00
75,"2Day - 11,14",NA,NA,NA,NA,37.605,30.365,0.0595,0.033,127,2013-05-06 14:00:00
76,"3Afternoon - 15,18",NA,NA,NA,NA,39.15,30.74,0.0585,0.0325,127,2013-05-06 15:00:00
77,"3Afternoon - 15,18",NA,NA,NA,NA,38.45,29.59,0.0575,0.032,127,2013-05-06 16:00:00
78,"3Afternoon - 15,18",NA,NA,NA,NA,37.97,28.65,0.057,0.032,127,2013-05-06 17:00:00
79,"3Afternoon - 15,18",NA,NA,NA,NA,35.575,26.36,0.0575,0.032,127,2013-05-06 18:00:00
80,"4Evning - 19,22",NA,NA,NA,NA,31.68,23.965,0.057,0.033,127,2013-05-06 19:00:00
81,"4Evning - 19,22",NA,NA,NA,NA,27.93,21.75,0.057,0.033,127,2013-05-06 20:00:00
82,"4Evning - 19,22",NA,NA,NA,NA,24.09,19.175,0.0575,0.0335,127,2013-05-06 21:00:00
83,"4Evning - 19,22",NA,NA,NA,NA,21.46,17.18,0.058,0.034,127,2013-05-06 22:00:00
84,"5Night - 23,2",NA,NA,NA,NA,19.665,15.585,0.0585,0.034,127,2013-05-06 23:00:00
85,"5Night - 23,2",NA,NA,NA,NA,18.195,14.325,0.0585,0.035,127,2013-05-07 00:00:00
86,"5Night - 23,2",NA,NA,NA,NA,17.045,13.375,0.0585,0.035,127,2013-05-07 01:00:00
87,"5Night - 23,2",NA,NA,NA,NA,16.02,12.57,0.059,0.035,127,2013-05-07 02:00:00
88,"6Erly Morn - 3,6",NA,NA,NA,NA,15.105,11.835,0.0595,0.037,127,2013-05-07 03:00:00
89,"6Erly Morn - 3,6",NA,NA,NA,NA,14.235,11.175,0.061,0.038,127,2013-05-07 04:00:00
90,"6Erly Morn - 3,6",NA,NA,NA,NA,13.485,10.5,0.0625,0.0385,127,2013-05-07 05:00:00
91,"6Erly Morn - 3,6",NA,NA,NA,NA,13.005,10.135,0.063,0.0385,127,2013-05-07 06:00:00
92,"1Morning - 7,10",NA,NA,NA,NA,13.69,11.285,0.0635,0.0385,127,2013-05-07 07:00:00
93,"1Morning - 7,10",NA,NA,NA,NA,16.025,14.245,0.064,0.0375,127,2013-05-07 08:00:00
94,"1Morning - 7,10",NA,NA,NA,NA,20.04,17.695,0.064,0.037,127,2013-05-07 09:00:00
95,"1Morning - 7,10",NA,NA,NA,NA,24.83,21.345,0.064,0.036,127,2013-05-07 10:00:00
96,"2Day - 11,14",NA,NA,NA,NA,29.44,24.39,0.064,0.035,127,2013-05-07 11:00:00
97,"2Day - 11,14",NA,NA,NA,NA,33.38,26.475,0.0635,0.0335,128,2013-05-07 12:00:00
98,"2Day - 11,14",NA,NA,NA,NA,36.12,27.81,0.062,0.0335,128,2013-05-07 13:00:00
99,"2Day - 11,14",NA,NA,NA,NA,37.14,27.585,0.06,0.0325,128,2013-05-07 14:00:00
100,"3Afternoon - 15,18",NA,NA,NA,NA,35.155,25.63,0.0595,0.033,128,2013-05-07 15:00:00
101,"3Afternoon - 15,18",NA,NA,NA,NA,33.58,24.405,0.059,0.0325,128,2013-05-07 16:00:00
102,"3Afternoon - 15,18",NA,NA,NA,NA,31.615,22.965,0.058,0.0325,128,2013-05-07 17:00:00
103,"3Afternoon - 15,18",NA,NA,NA,NA,30.94,22.38,0.058,0.0325,128,2013-05-07 18:00:00
104,"4Evning - 19,22",NA,NA,NA,NA,29.85,21.55,0.0585,0.0325,128,2013-05-07 19:00:00
105,"4Evning - 19,22",NA,NA,NA,NA,26.035,19.395,0.059,0.0335,128,2013-05-07 20:00:00
106,"4Evning - 19,22",NA,NA,NA,NA,22.635,17.195,0.0585,0.0335,128,2013-05-07 21:00:00
107,"4Evning - 19,22",NA,NA,NA,NA,20.95,16.19,0.0585,0.0335,128,2013-05-07 22:00:00
108,"5Night - 23,2",NA,NA,NA,NA,19.505,15.225,0.0585,0.0335,128,2013-05-07 23:00:00
109,"5Night - 23,2",NA,NA,NA,NA,17.995,14,0.059,0.0345,128,2013-05-08 00:00:00
110,"5Night - 23,2",NA,NA,NA,NA,16.825,13.015,0.059,0.0345,128,2013-05-08 01:00:00
111,"5Night - 23,2",NA,NA,NA,NA,15.905,12.305,0.06,0.035,128,2013-05-08 02:00:00
112,"6Erly Morn - 3,6",NA,NA,NA,NA,15.275,12.045,0.0605,0.0365,128,2013-05-08 03:00:00
113,"6Erly Morn - 3,6",NA,NA,NA,NA,14.725,11.805,0.062,0.038,128,2013-05-08 04:00:00
114,"6Erly Morn - 3,6",NA,NA,NA,NA,14.55,11.805,0.0635,0.039,128,2013-05-08 05:00:00
115,"6Erly Morn - 3,6",NA,NA,NA,NA,14.445,11.76,0.065,0.0385,128,2013-05-08 06:00:00
116,"1Morning - 7,10",NA,NA,NA,NA,14.92,12.215,0.0655,0.0375,128,2013-05-08 07:00:00
117,"1Morning - 7,10",NA,NA,NA,NA,16.115,13.3,0.065,0.0355,128,2013-05-08 08:00:00
118,"1Morning - 7,10",NA,NA,NA,NA,17.03,14.035,0.0645,0.0335,128,2013-05-08 09:00:00
119,"1Morning - 7,10",NA,NA,NA,NA,17.91,14.6,0.064,0.0325,128,2013-05-08 10:00:00
120,"2Day - 11,14",NA,NA,NA,NA,18.875,15.315,0.063,0.0315,128,2013-05-08 11:00:00
121,"2Day - 11,14",NA,NA,NA,NA,20.97,16.975,0.0625,0.031,129,2013-05-08 12:00:00
122,"2Day - 11,14",NA,NA,NA,NA,20.605,16.87,0.0615,0.031,129,2013-05-08 13:00:00
123,"2Day - 11,14",NA,NA,NA,NA,25.51,20.18,0.061,0.0305,129,2013-05-08 14:00:00
124,"3Afternoon - 15,18",NA,NA,NA,NA,26.135,20.56,0.0595,0.0305,129,2013-05-08 15:00:00
125,"3Afternoon - 15,18",NA,NA,NA,NA,25.115,19.905,0.0585,0.0305,129,2013-05-08 16:00:00
126,"3Afternoon - 15,18",NA,NA,NA,NA,25.845,20.42,0.058,0.0305,129,2013-05-08 17:00:00
127,"3Afternoon - 15,18",NA,NA,NA,NA,24.75,19.875,0.058,0.0315,129,2013-05-08 18:00:00
128,"4Evning - 19,22",NA,NA,NA,NA,22.86,18.64,0.0585,0.032,129,2013-05-08 19:00:00
129,"4Evning - 19,22",NA,NA,NA,NA,20.68,17.21,0.0585,0.032,129,2013-05-08 20:00:00
130,"4Evning - 19,22",NA,NA,NA,NA,18.72,15.555,0.059,0.032,129,2013-05-08 21:00:00
131,"4Evning - 19,22",NA,NA,NA,NA,17.47,14.54,0.0595,0.0325,129,2013-05-08 22:00:00
132,"5Night - 23,2",NA,NA,NA,NA,15.98,13.14,0.06,0.033,129,2013-05-08 23:00:00
133,"5Night - 23,2",NA,NA,NA,NA,14.73,11.85,0.06,0.033,129,2013-05-09 00:00:00
134,"5Night - 23,2",NA,NA,NA,NA,13.615,10.695,0.06,0.0335,129,2013-05-09 01:00:00
135,"5Night - 23,2",NA,NA,NA,NA,12.715,9.84,0.0605,0.034,129,2013-05-09 02:00:00
136,"6Erly Morn - 3,6",NA,NA,NA,NA,11.995,9.19,0.061,0.0355,129,2013-05-09 03:00:00
137,"6Erly Morn - 3,6",NA,NA,NA,NA,11.475,8.8035,0.0625,0.037,129,2013-05-09 04:00:00
138,"6Erly Morn - 3,6",NA,NA,NA,NA,10.955,8.397,0.064,0.0385,129,2013-05-09 05:00:00
139,"6Erly Morn - 3,6",NA,NA,NA,NA,10.625,8.1235,0.065,0.038,129,2013-05-09 06:00:00
140,"1Morning - 7,10",NA,NA,NA,NA,11.24,8.795,0.066,0.0365,129,2013-05-09 07:00:00
141,"1Morning - 7,10",NA,NA,NA,NA,13.255,11.18,0.0665,0.0345,129,2013-05-09 08:00:00
142,"1Morning - 7,10",NA,NA,NA,NA,16.305,13.705,0.0655,0.033,129,2013-05-09 09:00:00
143,"1Morning - 7,10",NA,NA,NA,NA,20.065,15.83,0.064,0.0315,129,2013-05-09 10:00:00
144,"2Day - 11,14",NA,NA,NA,NA,22.35,16.695,0.0625,0.0315,129,2013-05-09 11:00:00
145,"2Day - 11,14",NA,NA,NA,NA,23.355,17.105,0.0615,0.0305,130,2013-05-09 12:00:00
146,"2Day - 11,14",NA,NA,NA,NA,25.165,18.01,0.0615,0.0315,130,2013-05-09 13:00:00
147,"2Day - 11,14",NA,NA,NA,NA,25.4,17.93,0.061,0.031,130,2013-05-09 14:00:00
148,"3Afternoon - 15,18",NA,NA,NA,NA,25.28,17.83,0.06,0.031,130,2013-05-09 15:00:00
149,"3Afternoon - 15,18",16.22,15.955,-0.001,-0.001,23.09,16.51,0.059,0.03,130,2013-05-09 16:00:00
150,"3Afternoon - 15,18",16.04,15.03,0.012,0.007,20.98,15.225,0.059,0.031,130,2013-05-09 17:00:00
151,"3Afternoon - 15,18",12.41,12.625,0.098,0.063,19.16,14.005,0.059,0.0315,130,2013-05-09 18:00:00
152,"4Evning - 19,22",10.86,11.415,0.099,0.063,17.56,13.17,0.0595,0.032,130,2013-05-09 19:00:00
153,"4Evning - 19,22",10.09,10.825,0.099,0.063,16.65,12.75,0.06,0.0325,130,2013-05-09 20:00:00
154,"4Evning - 19,22",8.41,9.81,0.1,0.064,15.89,12.44,0.06,0.033,130,2013-05-09 21:00:00
155,"4Evning - 19,22",7.992,9.49,0.104,0.066,14.87,11.8,0.0605,0.0335,130,2013-05-09 22:00:00
156,"5Night - 23,2",7.71,9.27,0.109,0.068,14.63,11.775,0.0605,0.034,130,2013-05-09 23:00:00
157,"5Night - 23,2",8.09,9.38,0.11,0.069,14.195,11.55,0.0615,0.0345,130,2013-05-10 00:00:00
158,"5Night - 23,2",8.96,9.785,0.109,0.068,13.61,11.235,0.0615,0.0345,130,2013-05-10 01:00:00
159,"5Night - 23,2",9.03,9.77,0.108,0.069,13.11,10.89,0.0615,0.0355,130,2013-05-10 02:00:00
160,"6Erly Morn - 3,6",8.74,9.545,0.108,0.07,12.915,10.865,0.062,0.037,130,2013-05-10 03:00:00
161,"6Erly Morn - 3,6",8.72,9.625,0.108,0.068,12.85,10.835,0.0625,0.0375,130,2013-05-10 04:00:00
162,"6Erly Morn - 3,6",8.68,9.695,0.109,0.068,12.46,10.595,0.063,0.0375,130,2013-05-10 05:00:00
163,"6Erly Morn - 3,6",8.36,9.565,0.115,0.069,12.265,10.455,0.064,0.0375,130,2013-05-10 06:00:00
164,"1Morning - 7,10",7.962,9.33,0.115,0.07,12.415,10.57,0.0645,0.0385,130,2013-05-10 07:00:00
165,"1Morning - 7,10",8.07,9.505,0.115,0.071,14.2,12.445,0.064,0.038,130,2013-05-10 08:00:00
166,"1Morning - 7,10",9.05,10.385,0.114,0.071,15.19,12.67,0.065,0.0385,130,2013-05-10 09:00:00
167,"1Morning - 7,10",10.22,11.685,0.114,0.071,16.925,13.92,0.068,0.038,130,2013-05-10 10:00:00
168,"2Day - 11,14",12.04,13.205,0.113,0.072,19.89,16.09,0.0675,0.037,130,2013-05-10 11:00:00
169,"2Day - 11,14",12.41,14.255,0.11,0.071,20.125,16.155,0.0665,0.0365,131,2013-05-10 12:00:00
170,"2Day - 11,14",13.88,16.195,0.109,0.073,22.935,18.16,0.066,0.036,131,2013-05-10 13:00:00
171,"2Day - 11,14",14,15.64,0.107,0.071,24,18.75,0.064,0.0345,131,2013-05-10 14:00:00
172,"3Afternoon - 15,18",11.4,13.76,0.105,0.07,24.67,18.97,0.0635,0.0345,131,2013-05-10 15:00:00
173,"3Afternoon - 15,18",11.53,13.51,0.105,0.07,28.175,21.425,0.0625,0.0355,131,2013-05-10 16:00:00
174,"3Afternoon - 15,18",10.72,12.925,0.103,0.069,29.52,21.92,0.0625,0.036,131,2013-05-10 17:00:00
175,"3Afternoon - 15,18",10.48,12.41,0.102,0.069,25.39,19.095,0.063,0.037,131,2013-05-10 18:00:00
176,"4Evning - 19,22",9.28,11.105,0.101,0.068,21.905,16.75,0.063,0.037,131,2013-05-10 19:00:00
177,"4Evning - 19,22",8.55,10.145,0.1,0.068,19.69,15.045,0.063,0.037,131,2013-05-10 20:00:00
178,"4Evning - 19,22",7.465,9.025,0.1,0.068,18.015,13.785,0.0635,0.037,131,2013-05-10 21:00:00
179,"4Evning - 19,22",4.949,7.253,0.099,0.067,16.475,12.51,0.0635,0.037,131,2013-05-10 22:00:00
180,"5Night - 23,2",3.588,6.222,0.098,0.067,15.69,11.99,0.0635,0.037,131,2013-05-10 23:00:00
181,"5Night - 23,2",2.678,5.505,0.097,0.067,15.01,11.44,0.0635,0.0375,131,2013-05-11 00:00:00
182,"5Night - 23,2",1.897,5.0945,0.097,0.067,14.2,10.625,0.064,0.038,131,2013-05-11 01:00:00
183,"5Night - 23,2",4.544,6.6875,0.097,0.067,13.475,9.935,0.0645,0.038,131,2013-05-11 02:00:00
184,"6Erly Morn - 3,6",4.765,6.673,0.098,0.067,13.11,9.76,0.065,0.039,131,2013-05-11 03:00:00
185,"6Erly Morn - 3,6",5.062,6.9185,0.098,0.067,12.26,8.955,0.0665,0.04,131,2013-05-11 04:00:00
186,"6Erly Morn - 3,6",6.022,7.4805,0.098,0.068,11.265,7.946,0.068,0.0395,131,2013-05-11 05:00:00
187,"6Erly Morn - 3,6",6.568,7.852,0.097,0.067,10.62,7.314,0.07,0.04,131,2013-05-11 06:00:00
188,"1Morning - 7,10",7.09,8.27,0.098,0.068,11.27,8.1545,0.0695,0.038,131,2013-05-11 07:00:00
189,"1Morning - 7,10",6.8,8.245,0.102,0.07,13.33,10.62,0.0695,0.037,131,2013-05-11 08:00:00
190,"1Morning - 7,10",7.507,8.995,0.113,0.08,15.875,12.315,0.071,0.037,131,2013-05-11 09:00:00
191,"1Morning - 7,10",8.1,9.585,0.12,0.081,18.315,13.95,0.07,0.0365,131,2013-05-11 10:00:00
192,"2Day - 11,14",9.28,11.075,0.12,0.081,20.39,15.445,0.0675,0.035,131,2013-05-11 11:00:00
193,"2Day - 11,14",11.28,13.23,0.118,0.081,21.455,16.06,0.0665,0.0345,132,2013-05-11 12:00:00
194,"2Day - 11,14",11.57,13.585,0.116,0.08,21.24,15.86,0.0655,0.0345,132,2013-05-11 13:00:00
195,"2Day - 11,14",11.22,14.65,0.114,0.079,20.63,15.275,0.065,0.0345,132,2013-05-11 14:00:00
196,"3Afternoon - 15,18",10.59,12.935,0.113,0.08,19.23,14.255,0.065,0.035,132,2013-05-11 15:00:00
197,"3Afternoon - 15,18",5.114,9.405,0.119,0.085,20.225,14.59,0.065,0.0355,132,2013-05-11 16:00:00
198,"3Afternoon - 15,18",5.94,9.07,0.12,0.085,20.805,14.6,0.0655,0.0355,132,2013-05-11 17:00:00
199,"3Afternoon - 15,18",4.882,9.575,0.12,0.083,20.405,13.515,0.066,0.0365,132,2013-05-11 18:00:00
200,"4Evning - 19,22",7.503,10.265,0.118,0.082,19.975,12.815,0.066,0.0365,132,2013-05-11 19:00:00
201,"4Evning - 19,22",6.999,9.085,0.116,0.08,17.59,11.42,0.066,0.0365,132,2013-05-11 20:00:00
202,"4Evning - 19,22",5.982,7.9265,0.118,0.081,15.86,10.26,0.066,0.0375,132,2013-05-11 21:00:00
203,"4Evning - 19,22",4.769,7.2165,0.129,0.087,14.14,8.82,0.0665,0.0375,132,2013-05-11 22:00:00
204,"5Night - 23,2",7.173,8.285,0.128,0.086,12.62,7.565,0.0665,0.0375,132,2013-05-11 23:00:00
205,"5Night - 23,2",7.177,7.992,0.126,0.085,11.57,6.719,0.0665,0.0375,132,2013-05-12 00:00:00
206,"5Night - 23,2",7.106,7.755,0.125,0.084,11.65,7.1285,0.0665,0.0375,132,2013-05-12 01:00:00
207,"5Night - 23,2",6.968,7.499,0.124,0.083,11.47,7.459,0.067,0.0385,132,2013-05-12 02:00:00
208,"6Erly Morn - 3,6",7.047,7.461,0.123,0.083,11.165,7.477,0.0675,0.039,132,2013-05-12 03:00:00
209,"6Erly Morn - 3,6",6.378,6.9915,0.122,0.083,10.98,7.5415,0.068,0.039,132,2013-05-12 04:00:00
210,"6Erly Morn - 3,6",5.802,6.6695,0.121,0.082,10.795,7.6075,0.0685,0.039,132,2013-05-12 05:00:00
211,"6Erly Morn - 3,6",6.342,7.186,0.121,0.082,10.605,7.5025,0.0695,0.0385,132,2013-05-12 06:00:00
212,"1Morning - 7,10",8.06,8.69,0.121,0.082,10.86,7.804,0.07,0.0385,132,2013-05-12 07:00:00
213,"1Morning - 7,10",8.61,9.36,0.12,0.082,12.595,9.88,0.07,0.0385,132,2013-05-12 08:00:00
214,"1Morning - 7,10",8.81,9.7,0.119,0.081,16.42,12.89,0.0705,0.0375,132,2013-05-12 09:00:00
215,"1Morning - 7,10",8.62,9.96,0.119,0.082,18.865,13.89,0.07,0.0365,132,2013-05-12 10:00:00
216,"2Day - 11,14",7.946,10.07,0.125,0.083,22.105,16.01,0.07,0.0365,132,2013-05-12 11:00:00
217,"2Day - 11,14",8.54,10.695,0.142,0.09,25.775,18.77,0.07,0.0365,133,2013-05-12 12:00:00
218,"2Day - 11,14",9.47,11.175,0.152,0.095,26.31,18.715,0.068,0.035,133,2013-05-12 13:00:00
219,"2Day - 11,14",9.62,11.125,0.159,0.098,23.93,16.62,0.0655,0.0375,133,2013-05-12 14:00:00
220,"3Afternoon - 15,18",9.56,10.99,0.161,0.101,21.52,14.84,0.066,0.054,133,2013-05-12 15:00:00
221,"3Afternoon - 15,18",9.44,10.815,0.15,0.098,19.82,13.63,0.073,0.08,133,2013-05-12 16:00:00
222,"3Afternoon - 15,18",9.66,11.005,0.143,0.097,18.595,12.845,0.076,0.078,133,2013-05-12 17:00:00
223,"3Afternoon - 15,18",10.1,11.135,0.137,0.095,17.21,12.125,0.0765,0.0765,133,2013-05-12 18:00:00
224,"4Evning - 19,22",10.08,11.03,0.133,0.094,16.65,12.125,0.0765,0.0755,133,2013-05-12 19:00:00
225,"4Evning - 19,22",10.03,10.87,0.13,0.093,15.855,11.91,0.077,0.074,133,2013-05-12 20:00:00
226,"4Evning - 19,22",9.86,10.635,0.128,0.092,15.19,11.635,0.077,0.072,133,2013-05-12 21:00:00
227,"4Evning - 19,22",9.61,10.32,0.126,0.091,14.505,11.33,0.077,0.072,133,2013-05-12 22:00:00
228,"5Night - 23,2",9.05,9.885,0.125,0.09,14.02,11.12,0.077,0.071,133,2013-05-12 23:00:00
229,"5Night - 23,2",9.19,9.855,0.124,0.09,13.665,11.005,0.077,0.0695,133,2013-05-13 00:00:00
230,"5Night - 23,2",8.9,9.365,0.124,0.089,13.25,10.745,0.0765,0.069,133,2013-05-13 01:00:00
231,"5Night - 23,2",8.28,8.755,0.122,0.089,13.025,10.685,0.0775,0.0695,133,2013-05-13 02:00:00
232,"6Erly Morn - 3,6",8.44,8.695,0.121,0.089,12.61,10.325,0.0785,0.071,133,2013-05-13 03:00:00
233,"6Erly Morn - 3,6",8.23,8.38,0.12,0.089,12.22,9.895,0.0795,0.072,133,2013-05-13 04:00:00
234,"6Erly Morn - 3,6",7.693,7.888,0.119,0.089,11.76,9.355,0.081,0.0725,133,2013-05-13 05:00:00
235,"6Erly Morn - 3,6",7.72,7.9805,0.118,0.089,11.37,8.815,0.0815,0.072,133,2013-05-13 06:00:00
